IDPeticion;Codi;Nom;SSTT;DataPlanificada;Data tancament ;Excedent previst ;EXCENDENT que té el centre  ;Incidental pendent previst ;Equips en incidencia CENTRE ;Equips a recollir a la visita (excedents mès averiats) previst;equips retirats ;disposen del total del equips a retirar ?;e-Valisa necessària?;e-Valisa sol·licitada;e-Valisa rebuda;MOTIU discrepancia ;observacions;Columna1;;;;;;
2198680;8014693;INSTITUT GUILLEM DE BERGUEDÀ;CCE;19/11/2025;19/11/2025;56;66;27;58;56;66;SI;NO;;;;;;;;;;;
2198790;8043681;INSTITUT MARIANAO;BLL;20/11/2025;20/11/2025;36;0;37;67;37;67;SI;NO;;;;;;;;;;;
2198789;8066541;INSTITUT MARIA ESPINALT ;CEB;20/11/2025;20/11/2025;1;0;58;58;58;58;SI;NO;;;;;;;;;;;
2198788;8053315;INSTITUT MONTSERRAT ROIG;BLL;20/11/2025;20/11/2025;32;0;39;39;39;39;SI;NO;;;;;;;;;;;
2198741;25010280; INSTITUT ESCOLA TORRE QUERALT;LLE;20/11/2025;20/11/2025;9;0;7;9;9;9;SI;NO;;;;;;;;;;;
2198726;43007221;INSTITUT ELS ALFACS;TEB;20/11/2025;20/11/2025;26;22;44;44;44;44;SI;NO;;;;;;;;;;;
2198793;43008407;INSTITUT EL MORELL;TAR;20/11/2025;20/11/2025;10;0;49;65;49;65;SI;NO;;;;;;;;;;;
2198794;8071214;INSTITUT ESCOLA CASTELLTERÇOL;CCE;20/11/2025;20/11/2025;25;25;7;7;25;25;SI;NO;;;;;;;;;;;
2198785;8054873;INSTITUT JOAQUIMA PLA I FARRERAS;VOC;20/11/2025;20/11/2025;67;47;33;33;67;47;No;SI;SI;SI;El centre ha lliurat l’equipament excedent a alumnat d’altres nivells.;;;;;;;;
2198798;8052797;"	INSTITUT SALVADOR ESPRIU";CEB;21/11/2025;21/11/2025;3;0;45;26;45;26;NO;SI;SI;No vàlida;El centre indica que nomès té disponibles i identificats 26 equips d' incidental.;;;;;;;;
2198802;43010748;INSTITUT ELS PALLARESOS;TAR;21/11/2025;21/11/2025;35;0;48;4;48;4;NO;SI;SI;;El centre ha lliurat l’equipament excedent a alumnat d’altres nivells.;;;;;;;;
2198737;8065019;INSTITUT DE VALLBONA D'ANOIA;PEN;21/11/2025;21/11/2025;41;30;16;7;41;37;NO;NO;;;Centre indica que mai ha tingut aquest excedent;;;;;;;;
2198810;8071226;"INSTITUT ESCOLA COSTA I LLOBERA	";CEB;24/11/2025;24/11/2025;8;8;38;43;38;43;NO;NO;;;El centre facilita tots el equips que tenen identificats com incidental al centre.;;;;;;;;
2198809;8047480;INSTITUT MEDITERRÀNIA;BLL;24/11/2025;24/11/2025;31;31;33;33;33;33;SI;NO;;;;;;;;;;;
2198808;8025654;INSTITUT JOAQUIM RUBIÓ I ORS;BLL;24/11/2025;24/11/2025;27;27;33;33;33;33;SI;NO;;;;;;;;;;;
2198738;8046645;INSTITUT MOLÍ DE LA VILA;PEN;24/11/2025;24/11/2025;32;0;40;115;40;115;SI;NO;;;En emportem material de mes, ;;;;;;;;
2198811;43006678;INSTITUT GABRIEL FERRATER I SOLER;TAR;24/11/2025;24/11/2025;18;0;37;37;37;37;SI;NO;;;;;;;;;;;
2198806;8035349;INSTITUT LA ROMÀNICA;VOC;24/11/2025;24/11/2025;62;62;23;23;62;62;SI;NO;;;;;;;;;;;
2198812;8046761;INSTITUT GUILLEM CATÀ;CCE;24/11/2025;24/11/2025;24;95;10;15;24;95;NO;NO;;;Tenen mes excedent previst;;;;;;;;
2198807;17005911;"INSTITUT RAMON COLL I RODÉS	";GIR;24/11/2025;24/11/2025;34;34;54;0;54;34;SI;NO;;;els hi van retirar els equips per servei, no té sentit demanar Valisa 🤔 (Rafa: corregit);;;;;;;;
